2013 Ranking,2015 Ranking,Country,Excel Calculated Curve,Excel Sigmoid,Excel Size,color,t
13,15,Botswana,13.53788284273999,0.2689414213699951,2,2,-1.0
13,15,Botswana,13.755081337596291,0.3775406687981454,2,2,-0.5
13,15,Botswana,14.0,0.5,2,2,0.0
13,15,Botswana,14.244918662403709,0.6224593312018546,2,2,0.5
13,15,Botswana,14.46211715726001,0.7310585786300049,2,2,1.0
13,15,Botswana,14.635148952387286,0.8175744761936437,2,2,1.5
13,15,Botswana,14.761594155955764,0.8807970779778823,2,2,2.0
13,15,Botswana,14.848283639957513,0.9241418199787566,2,2,2.5
13,15,Botswana,14.905148253644867,0.9525741268224334,2,2,3.0
13,15,Botswana,14.941375538497287,0.9706877692486436,2,2,3.5
13,15,Botswana,14.964027580075816,0.9820137900379085,2,2,4.0
13,15,Botswana,14.978026114738814,0.9890130573694068,2,2,4.5
13,15,Botswana,14.98661429815143,0.9933071490757153,2,2,5.0
13,15,Botswana,14.991859724568208,0.995929862284104,2,2,5.5
14,14,Djibouti,14.0,0.0024726231566347743,0,0,-6.0
14,14,Djibouti,14.0,0.004070137715896128,0,0,-5.5
14,14,Djibouti,14.0,0.0066928509242848554,0,0,-5.0
14,14,Djibouti,14.0,0.01098694263059318,0,0,-4.5
14,14,Djibouti,14.0,0.01798620996209156,0,0,-4.0
14,14,Djibouti,14.0,0.02931223075135632,0,0,-3.5
14,14,Djibouti,14.0,0.04742587317756678,0,0,-3.0
14,14,Djibouti,14.0,0.07585818002124355,0,0,-2.5
14,14,Djibouti,14.0,0.11920292202211755,0,0,-2.0
14,14,Djibouti,14.0,0.18242552380635635,0,0,-1.5
14,14,Djibouti,14.0,0.2689414213699951,0,0,-1.0
14,14,Djibouti,14.0,0.3775406687981454,0,0,-0.5
14,14,Djibouti,14.0,0.5,0,0,0.0
14,14,Djibouti,14.0,0.6224593312018546,0,0,0.5
14,14,Djibouti,14.0,0.7310585786300049,0,0,1.0
14,14,Djibouti,14.0,0.8175744761936437,0,0,1.5
14,14,Djibouti,14.0,0.8807970779778823,0,0,2.0
14,14,Djibouti,14.0,0.9241418199787566,0,0,2.5
14,14,Djibouti,14.0,0.9525741268224334,0,0,3.0
14,14,Djibouti,14.0,0.9706877692486436,0,0,3.5
14,14,Djibouti,14.0,0.9820137900379085,0,0,4.0
14,14,Djibouti,14.0,0.9890130573694068,0,0,4.5
14,14,Djibouti,14.0,0.9933071490757153,0,0,5.0
14,14,Djibouti,14.0,0.995929862284104,0,0,5.5
15,16,Senegal,15.002472623156635,0.0024726231566347743,1,1,-6.0
15,16,Senegal,15.004070137715896,0.004070137715896128,1,1,-5.5
15,16,Senegal,15.006692850924285,0.0066928509242848554,1,1,-5.0
15,16,Senegal,15.010986942630593,0.01098694263059318,1,1,-4.5
15,16,Senegal,15.01798620996209,0.01798620996209156,1,1,-4.0
15,16,Senegal,15.029312230751357,0.02931223075135632,1,1,-3.5
15,16,Senegal,15.047425873177566,0.04742587317756678,1,1,-3.0
15,16,Senegal,15.075858180021244,0.07585818002124355,1,1,-2.5
15,16,Senegal,15.119202922022117,0.11920292202211755,1,1,-2.0
15,16,Senegal,15.182425523806357,0.18242552380635635,1,1,-1.5
15,16,Senegal,15.268941421369995,0.2689414213699951,1,1,-1.0
15,16,Senegal,15.377540668798146,0.3775406687981454,1,1,-0.5
15,16,Senegal,15.5,0.5,1,1,0.0
15,16,Senegal,15.622459331201854,0.6224593312018546,1,1,0.5
15,16,Senegal,15.731058578630005,0.7310585786300049,1,1,1.0
15,16,Senegal,15.817574476193643,0.8175744761936437,1,1,1.5
15,16,Senegal,15.880797077977883,0.8807970779778823,1,1,2.0
15,16,Senegal,15.924141819978757,0.9241418199787566,1,1,2.5
15,16,Senegal,15.952574126822434,0.9525741268224334,1,1,3.0
15,16,Senegal,15.970687769248643,0.9706877692486436,1,1,3.5
15,16,Senegal,15.98201379003791,0.9820137900379085,1,1,4.0
15,16,Senegal,15.989013057369407,0.9890130573694068,1,1,4.5
15,16,Senegal,15.993307149075715,0.9933071490757153,1,1,5.0
15,16,Senegal,15.995929862284104,0.995929862284104,1,1,5.5
16,18,Azerbaijan,16.00494524631327,0.0024726231566347743,2,2,-6.0
16,18,Azerbaijan,16.008140275431792,0.004070137715896128,2,2,-5.5
16,18,Azerbaijan,16.01338570184857,0.0066928509242848554,2,2,-5.0
16,18,Azerbaijan,16.021973885261186,0.01098694263059318,2,2,-4.5
16,18,Azerbaijan,16.03597241992418,0.01798620996209156,2,2,-4.0
16,18,Azerbaijan,16.058624461502713,0.02931223075135632,2,2,-3.5
16,18,Azerbaijan,16.094851746355133,0.04742587317756678,2,2,-3.0
16,18,Azerbaijan,16.15171636004249,0.07585818002124355,2,2,-2.5
16,18,Azerbaijan,16.238405844044234,0.11920292202211755,2,2,-2.0
16,18,Azerbaijan,16.364851047612714,0.18242552380635635,2,2,-1.5
16,18,Azerbaijan,16.53788284273999,0.2689414213699951,2,2,-1.0
